DIVISION,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,AGE,UNIT_TYPE,FUEL_PRODUCT,LAST_FUEL_DATE,LAST_WORKORDER_OPEN_DATE,M5_LIFE_KM_USAGE(KM),M5_LIFE_HRS_USAGE(Hrs),M5_YTD_KM_USAGE(KM),M5_YTD_HRS_USAGE(Hrs),CATEGORY_CLASS,EXPECTED_LIFE(YR),IN_SERVICE_DATE,MAINTENENACE_LOCATION_NAME,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,FUEL_DESC,AVAILABLE HOURS (Hrs),DOWNTIME(Hrs),VEU,CATEGORY_GROUP,CATEGORY_GROUP_DESC,TECH_SPEC,TECH_SPEC_DESC,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,EXPECT_USAGE(KM),EXPECT_USAGE(Hrs),PARK_LOCATION,PARK_LOCATION_NAME
ARENA BOARDS OF MGMT,376024,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,18.44,OFF-ROAD,NATURAL GAS,, 4-Sep-08,0,0,0,0,ICEMAIN,10, 25-Feb-05,FINCH GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",005181,55 JOHN ST
ARENA BOARDS OF MGMT,376025,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,18.44,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 25-Feb-05,EASTERN GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376035,2005,ZAMBONI,520,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,17.57,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 9-Jan-06,ELLESMERE GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376036,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,17.57,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 9-Jan-06,ELLESMERE GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376045,2009,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,14.00,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 4-Aug-09,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN09,ICE RINK RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376053,2010,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,14.39,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 14-Mar-09,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN10,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376065,2010,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,13.53,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 20-Jan-10,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN10,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376067,2011,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,11.85,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 27-Sep-11,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN11,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376081,2012,ZAMBONI,525,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,10.58,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 2-Jan-13,EASTERN GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG12A,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376084,2013,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,9.61,OFF-ROAD,PROPANE,, 14-Jan-14,0,0,0,0,ICEMAIN,10, 23-Dec-13,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR13,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376085,2013,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,9.61,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 23-Dec-13,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR13,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376094,2014,ZAMBONI,445,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,8.93,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 27-Aug-14,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBLPG14,845 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376105,2016,ZAMBONI,526,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,6.32,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 6-Apr-17,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR16B,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376110,2018,ZAMBONI,526,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,4.60,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 24-Dec-18,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR18B,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376118,2018,ZAMBONI,526,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,4.40,OFF-ROAD,PROPANE,, 11-Mar-19,0,0,0,0,ICEMAIN,10, 8-Mar-19,INGRAM GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR18,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376121,2018,ZAMBONI,446,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,3.23,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 8-May-20,FINCH GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG18A,2018 ZAMBONI 446 ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376122,2020,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,2.66,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 3-Dec-20,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBLP20B,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376123,2020,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,2.50,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 29-Jan-21,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBLP20B,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376126,2022,ZAMBONI,526,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,1.39,OFF-ROAD,NATURAL GAS,, 22-Apr-22,12,12,8,8,ICEMAIN,10, 9-Mar-22,EASTERN GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG22A,2022 ZAMBONI 526 ICE RESURFACER,STANDARD,NO_PM,0,"4,900",,
ARENA BOARDS OF MGMT,376130,2023,ZAMBONI,526,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,0.36,OFF-ROAD,PROPANE,, 21-Apr-23,8,8,8,8,ICEMAIN,10, 23-Mar-23,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,712.00,12.30,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR23,2023 ZAMBONI 526 1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NO_PM,0,"4,900",001012,40 ROSSMORE RD
CITY CLERKS OFFICE,095149,2018,FORD,TRANSIT CONN,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,5.67,LIGHT DUTY,UNLEADED, 28-Jul-23, 17-Mar-23,46662,2372,3826,231,CLASS1,8, 30-Nov-17,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",109.32,1.50,VAN-PASS,VAN - PASSENGER,095FORDUN18,MINI CARGO VAN,V1.5UND,BYAC---8,"160,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,095150,2018,FORD,TRANSIT CONN,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,5.67,LIGHT DUTY,UNLEADED, 28-Jul-23, 19-May-23,92860,3545,9119,394,CLASS1,8, 30-Nov-17,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",3.76,1.50,VAN-PASS,VAN - PASSENGER,095FORDUN18,MINI CARGO VAN,V1.5UND,BYAC---8,"160,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,112391,2017,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,5.79,LIGHT DUTY,UNLEADED, 28-Jul-23, 25-May-23,68791,2785,10307,375,CLASS2,10, 16-Oct-17,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",3.09,1.50,VAN-3/4T,VAN - 3/4 TON,112FORDUN17,THREE QUARTER TON CARGO VAN,V1.5UND,BYAC---8,"220,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,112393,2017,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,5.77,LIGHT DUTY,UNLEADED, 24-Jul-23, 14-Jul-23,84136,3727,7535,383,CLASS2,10, 23-Oct-17,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",59.94,1.50,VAN-3/4T,VAN - 3/4 TON,112FORDUN17,THREE QUARTER TON CARGO VAN,V1.5UND,BYAC---8,"220,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,112424,2018,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,5.23,LIGHT DUTY,UNLEADED, 27-Jul-23, 23-May-23,85905,2817,9675,323,CLASS2,10, 8-May-18,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",74.23,1.50,VAN-3/4T,VAN - 3/4 TON,112FORDUN18,THREE QUARTER TON CARGO VAN,V1.5UND,BYAC---8,"220,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,114036,2015,FORD,TRANSIT 350,3OS2TTUZZZ,VAN-1T-CARGO-SR CL2 4X2 10Y UNLEAD,8.57,LIGHT DUTY,UNLEADED, 12-Jul-23, 30-May-23,53052,3719,5000,240,CLASS2,10, 7-Jan-15,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",31.96,1.50,VAN-1TON,VAN - 1 TON,114FORDUN15,ONE TON REGULAR CARGO VAN,V1.5UND,BYAC---8,"220,000",0,005181,55 JOHN ST
CITY CLERKS OFFICE,135166,2017,FORD,E450,1BS4TTUOHZ,TRK-CUBE-SC CL4 4X2 10Y UNLEAD PLGSH,6.29,MEDIUM DUTY,UNLEADED, 13-Jul-23, 2-Feb-23,25940,1063,2912,120,CLASS4,10, 19-Apr-17,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",34.32,3.00,TRUCK-CUBE,TRUCK - CUBE,135FORDUN17A,14' CUTAWAY CUBE VAN,V3UND,B6AD---8,"220,000","5,500",005181,55 JOHN ST
CITY CLERKS OFFICE,135182,2018,FORD,F550,1BS5TTDZZZ,TRK-CUBE-SC CL5 4X2 10Y DIESEL,5.10,MEDIUM DUTY,DIESEL, 26-Jul-23, 20-Jul-23,46043,1834,6273,294,CLASS5,10, 27-Jun-18,EASTERN GARAGE,Active Unit,,GV0004,GV0004,,"1,160.00",137.67,3.00,TRUCK-CUBE,TRUCK - CUBE,135FORDDI18,TRUCK CHASSIS AND REG. CAB WITH 16FT. CUBE VAN BODY,V3UND,B6AD---8,"220,000","5,500",005815,255 SPADINA RD
ECO. DEVT. & CULTURE,049008,2017,DODGE,RAM 1500,5HS2FTUSZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD SPRDR,6.64,LIGHT DUTY,UNLEADED, 25-Jul-23, 20-Jun-23,34738,1475,3812,170,CLASS2,10, 12-Dec-16,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",2.33,1.50,PICKU-1/2T,PICKUP - 1/2 TON,049DODGUN17-1,4WD REG. CAB PICKUP TRUCK SPRDR,V1.5UND,BYAC---8,"180,000","4,500",004240,329 CHAPLIN CRES
ECO. DEVT. & CULTURE,062061,2008,DODGE,RAM 2500,5TC2TTUPZZ,PU-3/4T-CC CL2 4X2 10Y UNLEAD PL,15.55,LIGHT DUTY,UNLEADED, 24-Jan-18, 31-Jan-18,0,0,0,0,CLASS2,10, 14-Jan-08,EASTERN GARAGE,Unit is totaled,,AH0029,AH0029,,"1,160.00",,1.50,PICKU-3/4T,PICKUP - 3/4 TON,062DODGUN08-1,4WD CREWCAB PICKUP TRUCK PL,STANDARD,00,"220,000",0,,
ECO. DEVT. & CULTURE,064173,2017,FORD,F250 4X4,5TS2FTDPZZ,PU-3/4T-SC CL2 4X4 10Y DIESEL PL,5.21,LIGHT DUTY,DIESEL, 15-May-23, 22-Jun-23,13564,631,1192,62,CLASS2,10, 17-May-18,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",18.39,1.50,PICKU-3/4T,PICKUP - 3/4 TON,064FORDDI17A,3/4 TON PICKUP TRUCK - STANDARD CAB 4X4,V1.5UND,B6AD---8,"220,000",0,004240,329 CHAPLIN CRES
ECO. DEVT. & CULTURE,067061,2019,FORD,F250 4X4,5TC2FTDZZZ,PU-3/4T-CC CL2 4X4 10Y DIESEL,4.73,LIGHT DUTY,DIESEL, 27-Jul-23, 8-Mar-23,32071,1069,4468,154,CLASS2,10, 6-Nov-18,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",13.23,1.50,PICKU-3/4T,PICKUP - 3/4 TON,067FORDDI19,"Crew Cab, 4x4, 3/4 Ton Pickup Truck",V1.5UND,BYAC---8,"220,000",0,004240,329 CHAPLIN CRES
ECO. DEVT. & CULTURE,067090,2020,CHEVROLET,SILVERADO 2500,5TC2FTUZZZ,PU-3/4T-CC CL2 4X4 10Y UNLEAD,2.89,LIGHT DUTY,UNLEADED, 4-May-23, 30-Mar-23,3003,134,342,18,CLASS2,10, 10-Sep-20,EASTERN GARAGE,Active Unit,,ED0005,ED0005,,"1,160.00",1.43,1.50,PICKU-3/4T,PICKUP - 3/4 TON,067CHEVUN20,"Crew Cab, 4x4, 3/4 Ton Pickup Truck",V1.5UND,B6AD---8,"220,000",0,001045,843 EASTERN AVE
ECO. DEVT. & CULTURE,095123,2015,DODGE,CARAVAN C/V,3MZ2TEUZZZ,VAN-MINICARGO CL2 4X2 8Y UNLEAD,8.57,LIGHT DUTY,UNLEADED, 25-May-23, 16-Nov-22,85125,3647,2076,34,CLASS2,8, 5-Jan-15,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",,1.50,VAN-PASS,VAN - PASSENGER,095DODGUN15,MINI CARGO VAN C/V RAM,V1.5OVR,BYAC---8,"160,000",0,000522,100 GARRISON RD
ECO. DEVT. & CULTURE,112303,2012,FORD,E250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,11.69,LIGHT DUTY,UNLEADED, 19-Jun-23, 26-May-23,63897,0,727,0,CLASS2,10, 24-Nov-11,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",61.33,1.50,VAN-3/4T,VAN - 3/4 TON,112FORDUN12-4,THREE QUARTER TON CARGO VAN,V1.5OVR,OYAC---8,"220,000",0,000649,98 ATLANTIC AVE
ECO. DEVT. & CULTURE,318055,2021,JOHN DEERE,JD3046,GRZEFWDZZZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL,1.26,OFF-ROAD,DIESEL / DYED DIESEL, 18-Nov-22, 30-Mar-23,0,64,0,36,GROUND,12, 27-Apr-22,EASTERN GARAGE,Active Unit,,AH0029,AH0029,,"1,160.00",67.42,0.50,GM-TRACT,GROUNT-TRACTOR,318JOHNDI21,2021 JOHN DEERE JD3046 46HP FARM TRACTOR,STANDARD,H6AE----,0,"3,500",000522,100 GARRISON RD
ECO. DEVT. & CULTURE,378370,2023,JOHN DEERE,XUV835M,GUZFFEUPZZ,GM-UTILITY-CARTS 51-60HP 4X4 8Y UNLEAD PL,0.34,OFF-ROAD,UNLEADED,, 22-Mar-23,0,4,0,4,GROUND,8, 29-Mar-23,INGRAM GARAGE,Active Unit,,AH0154,AH0154,,680.00,20.75,1.00,GM-UT-CART,GROUND-UTILITY CARTS,378JOHNUN23B,2023 JOHN DEERE XUV835M 4X4 GATOR UTILITY VEHICLE WITH PLOW,STANDARD,NO_PM_HR,0,"2,100",10030,KING GARAGE
ECO. DEVT. & CULTURE,270010,2015,JELANO,J8107,4FZH2IZZZZ,TRL-OFFICE HEAVY TANDEM AXLE 15Y,7.92,OTHER,,, 4-Oct-22,0,0,0,0,TRAILER,15, 1-Sep-15,EASTERN GARAGE,Active Unit,,ED0005,ED0005,,"1,160.00",,0.50,TRL-OFFICE,TRAILER-OFFICE,270JELANA15,10FT. TANDEM AXLE CONCESSION TRAILER,STANDARD,ND------,0,0,000520,433 EASTERN AVE
ECO. DEVT. & CULTURE,270011,2016,JELANO,J8107,4FZH2IZZZZ,TRL-OFFICE HEAVY TANDEM AXLE 15Y,7.02,OTHER,,, 4-May-23,0,0,0,0,TRAILER,15, 25-Jul-16,EASTERN GARAGE,Active Unit,,ED0005,ED0005,,"1,160.00",66.98,0.50,TRL-OFFICE,TRAILER-OFFICE,270JELANA16,10FT. TANDEM AXLE CONCESSION TRAILER,STANDARD,ND------,0,0,000520,433 EASTERN AVE
ENGINEERING & CONSTR. SERVICES,003339,2023,CHEVROLET,BOLT EUV,7SZ1TEEZZZ,PASS-SUBCOMP CL1 4X2 8Y ELECT,0.11,LIGHT DUTY,ELECTRIC,, 7-Jul-23,116,0,116,0,CLASS1,8, 21-Jun-23,EASTERN GARAGE,Active Unit,,CFL009-21,ECS620,ZERO EMISSION - ELECTRIC VEHICLE,224.00,6.21,1.00,SEDAN-PASS,SEDAN - PASSENGER,003CHEVEL23,2023 CHEVROLET BOLT EUV ELECTRIC 5-DOOR HATCHBACK SEDAN,V1UND,OC-----8,"160,000",0,005680,18 DYAS RD
ENGINEERING & CONSTR. SERVICES,041210,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 24-Jul-23, 31-May-23,65793,2434,5001,3,CLASS1,8, 19-Oct-16,DISCO GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",0.09,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",005940,2 CIVIC CENTRE CRT
ENGINEERING & CONSTR. SERVICES,041211,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 31-Jul-23, 20-Apr-23,37535,743,4392,8,CLASS1,8, 21-Oct-16,ELLESMERE GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",127.24,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",003892,1050 ELLESMERE RD
ENGINEERING & CONSTR. SERVICES,041212,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 31-Jul-23, 29-Nov-22,50360,1089,5540,1,CLASS1,8, 21-Oct-16,FINCH GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",004426,1026 FINCH AVE W
ENGINEERING & CONSTR. SERVICES,041213,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 25-Jul-23, 27-Feb-23,37896,944,2501,300,CLASS1,8, 21-Oct-16,DISCO GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",19.28,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",005940,2 CIVIC CENTRE CRT
ENGINEERING & CONSTR. SERVICES,041214,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 31-Jul-23, 3-Mar-23,53958,587,6723,2,CLASS1,8, 19-Oct-16,ELLESMERE GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",0.63,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",005680,18 DYAS RD
ENGINEERING & CONSTR. SERVICES,041215,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.76,LIGHT DUTY,UNLEADED, 28-Jul-23, 11-May-23,57513,1063,3639,2,CLASS1,8, 26-Oct-16,EASTERN GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",46.35,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",003892,1050 ELLESMERE RD
ENGINEERING & CONSTR. SERVICES,041216,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.75,LIGHT DUTY,UNLEADED, 28-Jul-23, 3-Apr-23,55593,877,6445,4,CLASS1,8, 1-Nov-16,DISCO GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",16.44,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",005940,2 CIVIC CENTRE CRT
ENGINEERING & CONSTR. SERVICES,041217,2017,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,6.78,LIGHT DUTY,UNLEADED, 24-Jul-23, 16-Mar-23,57737,1214,7812,300,CLASS1,8, 21-Oct-16,ELLESMERE GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",18.01,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN17,AWD SPORT UTILITY VEHICLE,V1.5UND,BYAC---8,"160,000","4,000",003892,1050 ELLESMERE RD
ENGINEERING & CONSTR. SERVICES,041288,2018,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,4.84,LIGHT DUTY,UNLEADED, 31-Jul-23, 26-Apr-23,54801,337,5553,2,CLASS1,8, 28-Sep-18,ELLESMERE GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",24.87,1.50,SEDAN-PASS,SEDAN - PASSENGER,041FORDUN18,Ford Escape AWD Sport Utility Vehicle,V1.5UND,BYAC---8,"160,000","4,000",003892,1050 ELLESMERE RD
ENGINEERING & CONSTR. SERVICES,041335,2020,CHEVROLET,EQUINOX,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,3.21,LIGHT DUTY,UNLEADED, 20-Jul-23, 30-May-23,26932,573,3565,146,CLASS1,8, 14-May-20,DISCO GARAGE,Active Unit,,ECS620,ECS620,AUXILIARY BATTERY & ANTI-IDLING SYSTEMS,"1,160.00",12.93,1.50,SEDAN-PASS,SEDAN - PASSENGER,041CHEVUN20,2020 Chevrolet Equinox (1XX26) AWD 4dr 1LS SUV,V1.5UND,BYAC---8,"160,000","4,000",005940,2 CIVIC CENTRE CRT
